,Index,date,female_ID,male_ID,female_retreat_count,male_retreat_count,conflict_count
0,0,2022-11-09,4840,4829,2,1,4
0,1,2022-11-10,4827,4834,0,2,2
0,2,2022-12-21,4815,4784,0,0,0
0,3,2022-11-08,4831,4824,4,0,3
0,4,2022-12-07,4825,4830,1,1,2
0,5,2022-11-08,4825,4830,0,0,0
0,6,2022-11-09,4828,4835,0,1,1
0,7,2022-12-21,4828,4835,0,2,2
0,8,2022-11-09,4819,4833,0,7,0
0,9,2022-12-20,4831,4824,0,1,1
0,10,2022-12-20,4840,4829,3,1,3
0,11,2022-12-20.2,4831,4824,0,2,2
0,12,2022-11-09,4836,4823,1,2,2
0,13,2022-11-10,4818,4787,1,1,2
0,14,2022-12-21,4814,4781,0,2,1
0,15,2022-12-07,4818,4787,1,1,2
0,16,2022-12-21,4825,4830,1,0,1
0,17,2022-12-07,4827,4834,0,0,0
0,18,2022-12-20,4819,4833,2,4,3
0,19,2022-12-07,4836,4823,1,2,4
0,20,2022-11-10,4815,4784,0,1,1
0,21,2022-11-08,4814,4781,0,1,1
